n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
1,gate,2,0,0.137691977107132,0.30877399646473447,0.85,0.53,0.006533517496310439,digits_17
1,mixed,2,0,0.2228484284881137,0.27734136744851534,0.6733333333333333,0.62,0.005535046421454196,digits_17
5,gate,2,0,0.06136348680500423,0.38096727213562376,0.9533333333333334,0.65,0.013059706261033999,digits_17
5,mixed,2,0,0.08065157297575967,0.5086996349580675,0.9133333333333333,0.81,0.0006337166022954807,digits_17
10,gate,2,0,0.07897193255517258,0.3517913731279822,0.96,0.63,0.023616337144865576,digits_17
10,mixed,2,0,0.06712393033681607,0.3722871269569918,0.9466666666666667,0.5700000000000001,0.00011430287623787413,digits_17
15,gate,2,0,0.09969204779864214,0.3383660058851634,0.9633333333333334,0.6699999999999999,0.022399913880240065,digits_17
15,mixed,2,0,0.07068701084566338,0.3755621256313091,0.93,0.55,8.392087072601535e-05,digits_17
20,gate,2,0,0.1220324261821816,0.280346808576202,0.9666666666666667,0.53,0.017613023815077098,digits_17
20,mixed,2,0,0.0937955088674172,0.3731066153588759,0.94,0.71,9.57348660222581e-05,digits_17
25,gate,2,0,0.14085801976065818,0.2953948566493082,0.9566666666666667,0.7,0.013562885900412698,digits_17
25,mixed,2,0,0.08946196279412438,0.34703858988155906,0.9333333333333333,0.6,6.266289401799282e-05,digits_17
