n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
20,gate,2,0,0.13722661746811618,0.267669910813873,0.9285714285714286,0.5333333333333333,0.030098978301309653,iris
20,mixed,2,0,0.09418213876658925,0.2022872614390913,0.9571428571428572,0.6666666666666666,6.538065834834143e-05,iris
25,gate,2,0,0.15520584601514661,0.263183543867166,0.9142857142857143,0.5333333333333333,0.04387680556701833,iris
25,mixed,2,0,0.09059791219319749,0.26583544172693563,0.9571428571428572,0.5,7.588013908254101e-05,iris
