n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
30,gate,2,4,0.1704570127151029,0.24513758999977706,0.9142857142857143,0.5666666666666667,0.01354422823365569,iris
30,mixed,2,4,0.13116868232835865,0.2599267656541689,0.9428571428571428,0.6333333333333333,0.00015319559049638796,iris
35,gate,2,4,0.1805012408887668,0.23432341577158072,0.9,0.6333333333333333,0.006357701072131979,iris
35,mixed,2,4,0.15427459946530644,0.24906526179732533,0.8714285714285714,0.5666666666666667,5.968408658734154e-05,iris
40,gate,2,4,0.1991501771267989,0.2477143576488005,0.8428571428571429,0.6,0.0068555034952080705,iris
40,mixed,2,4,0.15083726867549901,0.2676287393553307,0.8857142857142857,0.5666666666666667,7.577876584850936e-05,iris
