n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
35,gate,2,2,0.18168292615423814,0.24577536768848893,0.9428571428571428,0.5333333333333333,0.01284726773906131,iris
35,mixed,2,2,0.1266489180102007,0.2755862480624577,0.9142857142857143,0.6,0.0001602583019251116,iris
40,gate,2,2,0.19687476920771446,0.25291378109315416,0.8428571428571429,0.5666666666666667,0.021538987042323814,iris
40,mixed,2,2,0.230159139234662,0.26917464436620797,0.6,0.5333333333333333,0.0003480585420093146,iris
