n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
15,gate,2,1,0.14458274257126327,0.2721991806893302,0.8142857142857143,0.5666666666666667,0.01239666331179191,iris
15,mixed,2,1,0.12069219758998036,0.3270162941480723,0.8571428571428572,0.5666666666666667,0.00011481722354752631,iris
20,gate,2,1,0.14906938717440898,0.26021419480910213,0.8714285714285714,0.5333333333333333,0.02583641606840586,iris
20,mixed,2,1,0.12887868750356835,0.25095902185006447,0.8714285714285714,0.5333333333333333,0.0002866679925813274,iris
25,gate,2,1,0.16538546556532582,0.24539137967961006,0.8285714285714285,0.5333333333333333,0.015746271204797175,iris
25,mixed,2,1,0.14101952541180177,0.30910199681168665,0.8571428571428572,0.5333333333333333,0.00010730816846078773,iris
30,gate,2,1,0.17623813102478966,0.2490775358518304,0.8571428571428572,0.5666666666666667,0.013939244306285289,iris
30,mixed,2,1,0.1492166304876225,0.2764720821606247,0.8714285714285714,0.5666666666666667,0.00015190811585975714,iris
