,n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
1,1,mixed,2,1,0.2366185134718538,0.2964882028321705,0.542,0.56,,digits_08
0,1,gate,2,2,0.2723381936577799,0.2555650052284368,0.553,0.56,,digits_08
1,1,mixed,2,2,0.2459908005191143,0.2406490710179067,0.563,0.52,,digits_08
0,1,gate,2,3,0.2760228671855924,0.2587320453432687,0.532,0.6,,digits_08
1,1,mixed,2,3,0.2897351084443983,0.2093893309429678,0.512,0.73,,digits_08
0,1,gate,2,4,0.2434560891515296,0.2687255686649943,0.587,0.57,,digits_08
1,1,mixed,2,4,0.2353303930509894,0.2345818188601891,0.606,0.58,,digits_08
0,1,gate,2,5,0.3064877876062828,0.3147422585898593,0.514,0.52,,digits_08
1,1,mixed,2,5,0.2550562771639549,0.2676627915635838,0.524,0.5900000000000001,,digits_08
0,20,gate,2,0,0.2723709297141811,0.2195626144081367,0.726,0.66,,digits_08
1,20,mixed,2,0,0.3528491853561388,0.1274787438184891,0.899,0.87,,digits_08
0,20,gate,2,1,0.1943320132382926,0.263952770273856,0.765,0.65,,digits_08
1,20,mixed,2,1,0.0800709793302843,0.3273685972767934,0.949,0.86,,digits_08
0,20,gate,2,2,0.2161829855400972,0.2230813147599278,0.677,0.65,,digits_08
1,20,mixed,2,2,0.1130202663645772,0.1250136015809752,0.889,0.88,,digits_08
0,20,gate,2,3,0.3018823292751045,0.2875447002594634,0.688,0.6,,digits_08
1,20,mixed,2,3,0.4625823005198911,0.3770501236238546,0.848,0.71,,digits_08
0,20,gate,2,4,0.2007300965011003,0.288712581252329,0.5840000000000001,0.5700000000000001,,digits_08
1,20,mixed,2,4,0.102921961588865,0.4158123926986665,0.6759999999999999,0.74,,digits_08
0,20,gate,2,5,0.3118465289910501,0.2758130422246129,0.681,0.55,,digits_08
1,20,mixed,2,5,0.5165668497194413,0.4878366958104593,0.89,0.88,,digits_08
0,21,gate,2,0,0.270356279220195,0.2314926688812491,0.791,0.59,,digits_08
1,21,mixed,2,0,0.3907797353579157,0.1613046176346712,0.93,0.75,,digits_08
0,25,gate,2,0,0.2774602866100949,0.2299223281207761,0.69,0.62,,digits_08
1,25,mixed,2,0,0.3498090184945117,0.1380455861521559,0.885,0.83,,digits_08
0,25,gate,2,1,0.2104368684664376,0.2540884786404102,0.729,0.59,,digits_08
1,25,mixed,2,1,0.0986228023493695,0.3223402027260331,0.936,0.86,,digits_08
0,25,gate,2,2,0.2279829197831004,0.2242595468134913,0.641,0.7,,digits_08
1,25,mixed,2,2,0.1322772703505753,0.1533587839042944,0.863,0.8,,digits_08
0,25,gate,2,3,0.2792026972595143,0.2843266123204877,0.646,0.6599999999999999,,digits_08
1,25,mixed,2,3,0.4060010280479998,0.3524298882296195,0.8049999999999999,0.6799999999999999,,digits_08
0,25,gate,2,4,0.2118553723020097,0.2593908606529438,0.5680000000000001,0.51,,digits_08
1,25,mixed,2,4,0.1092169986989344,0.418426253122899,0.669,0.8,,digits_08
0,25,gate,2,5,0.2898420796700519,0.2728830595252123,0.648,0.5900000000000001,,digits_08
1,25,mixed,2,5,0.4324704293067478,0.4358502798568122,0.853,0.86,,digits_08
0,30,gate,2,0,0.2609105164457861,0.2363827008273498,0.706,0.65,,digits_08
1,30,mixed,2,0,0.3155418979859464,0.1585177544517149,0.838,0.85,,digits_08
0,30,gate,2,1,0.2130291816438971,0.2579046396655871,0.757,0.57,,digits_08
1,30,mixed,2,1,0.1166271055260819,0.3471392588806284,0.932,0.87,,digits_08
0,30,gate,2,2,0.2305573293287431,0.2355969488356731,0.638,0.59,,digits_08
1,30,mixed,2,2,0.1400177542505643,0.1637806533627034,0.881,0.82,,digits_08
0,30,gate,2,3,0.2700995601795029,0.2702678371841133,0.617,0.6,,digits_08
1,30,mixed,2,3,0.4059306460906011,0.3421464944582145,0.854,0.71,,digits_08
0,30,gate,2,4,0.2188894323626023,0.272973139262026,0.517,0.5900000000000001,,digits_08
1,30,mixed,2,4,0.1498035395907417,0.3661940009589337,0.663,0.75,,digits_08
0,30,gate,2,5,0.2795644399884323,0.2748690669338594,0.655,0.61,,digits_08
1,30,mixed,2,5,0.4320731740136482,0.4459290455183856,0.856,0.89,,digits_08
0,35,gate,2,0,0.2577003249742376,0.2388356738906919,0.665,0.63,,digits_08
1,35,mixed,2,0,0.2874694604462122,0.1715445184134999,0.849,0.83,,digits_08
0,35,gate,2,1,0.2276149013281563,0.2553219774650734,0.691,0.58,,digits_08
1,35,mixed,2,1,0.2398722335268772,0.2948679344703453,0.589,0.59,,digits_08
0,35,gate,2,2,0.2330619195657376,0.2426747925449466,0.665,0.56,,digits_08
1,35,mixed,2,2,0.159431471185727,0.1812775628376529,0.851,0.77,,digits_08
0,35,gate,2,3,0.2681792450294352,0.2689512114154406,0.631,0.61,,digits_08
1,35,mixed,2,3,0.3645527232189192,0.3270816884740178,0.785,0.72,,digits_08
0,35,gate,2,4,0.2275332715934581,0.2577745991192678,0.5489999999999999,0.5,,digits_08
1,35,mixed,2,4,0.1408073037279306,0.3459764539720645,0.649,0.71,,digits_08
0,35,gate,2,5,0.2773556009626122,0.2668109049360748,0.6579999999999999,0.6,,digits_08
1,35,mixed,2,5,0.3886251257562968,0.3904532764350425,0.841,0.84,,digits_08
0,40,gate,2,0,0.247484977198836,0.2423299863455023,0.643,0.58,,digits_08
1,40,mixed,2,0,0.2932254928424798,0.1683260992802878,0.868,0.88,,digits_08
0,40,gate,2,1,0.2281764122349819,0.2501920966817919,0.714,0.62,,digits_08
1,40,mixed,2,1,0.1389481310883699,0.2907756838918092,0.921,0.85,,digits_08
0,40,gate,2,2,0.2378375307764469,0.2409432362704892,0.64,0.62,,digits_08
1,40,mixed,2,2,0.1597762770072958,0.1790237137423118,0.873,0.79,,digits_08
0,40,gate,2,3,0.2633137434270508,0.2599067485625695,0.622,0.52,,digits_08
1,40,mixed,2,3,0.3562296126773948,0.3249056224221026,0.832,0.75,,digits_08
0,40,gate,2,4,0.2330913812898188,0.2576120333581037,0.583,0.56,,digits_08
1,40,mixed,2,4,0.1497303089200935,0.3215022603158178,0.6890000000000001,0.62,,digits_08
0,40,gate,2,5,0.2559582385832746,0.2492284734734898,0.552,0.55,,digits_08
1,40,mixed,2,5,0.3321175981643801,0.3453879395425817,0.795,0.8,,digits_08
0,45,gate,2,0,0.2470216497153347,0.245041199659799,0.661,0.56,,digits_08
1,45,mixed,2,0,0.2719728037941168,0.1782599929814679,0.868,0.84,,digits_08
0,45,gate,2,1,0.2340174589281287,0.2521914192617687,0.694,0.61,,digits_08
1,45,mixed,2,1,0.1535270737478481,0.2839844023935367,0.899,0.83,,digits_08
0,45,gate,2,2,0.2386296175773407,0.2457847214225063,0.62,0.53,,digits_08
1,45,mixed,2,2,0.1914178243174139,0.2110950639574067,0.768,0.73,,digits_08
0,45,gate,2,3,0.2551862801480956,0.254378102136635,0.562,0.5700000000000001,,digits_08
1,45,mixed,2,3,0.3504785194874896,0.3063811992861004,0.86,0.69,,digits_08
0,45,gate,2,4,0.2339033815170835,0.2514080572952178,0.54,0.53,,digits_08
1,45,mixed,2,4,0.16529075279279,0.3158662736051891,0.5489999999999999,0.69,,digits_08
0,45,gate,2,5,0.2591451565628607,0.2558224888575317,0.603,0.63,,digits_08
1,45,mixed,2,5,0.3483418926177176,0.3488362899358004,0.81,0.81,,digits_08
0,50,gate,2,0,0.2499190422185565,0.2449783266970163,0.645,0.59,,digits_08
1,50,mixed,2,0,0.2851349802235822,0.1901540494939814,0.838,0.8,,digits_08
0,50,gate,2,1,0.2383350120929959,0.2468658415439207,0.675,0.52,,digits_08
1,50,mixed,2,1,0.1536319160179822,0.2888365146411595,0.908,0.87,,digits_08
0,50,gate,2,2,0.2419914319150809,0.2446771917758314,0.632,0.59,,digits_08
1,50,mixed,2,2,0.1849805134266305,0.1940313083039449,0.814,0.83,,digits_08
0,50,gate,2,3,0.2576104849132453,0.2536770600640879,0.621,0.53,,digits_08
1,50,mixed,2,3,0.3424804704556222,0.3138346099841406,0.806,0.74,,digits_08
0,50,gate,2,4,0.2353963339748686,0.2568261215602246,0.507,0.52,,digits_08
1,50,mixed,2,4,0.1738248117703855,0.3054034331870359,0.6699999999999999,0.64,,digits_08
0,50,gate,2,5,0.2595163354683154,0.2592559626366826,0.622,0.65,,digits_08
1,50,mixed,2,5,0.3416349663522162,0.3461406663490047,0.8089999999999999,0.84,,digits_08
0,5,gate,2,0,0.2969163548731335,0.2364059360519001,0.754,0.66,,digits_08
1,5,mixed,2,0,0.3846385526637771,0.0885289717925882,0.931,0.87,,digits_08
0,5,gate,2,1,0.1268883397267888,0.3120997449084868,0.848,0.73,,digits_08
1,5,mixed,2,1,0.0659829670010029,0.4961955565379471,0.936,0.9,,digits_08
0,5,gate,2,2,0.1828148578708116,0.1566971330039355,0.743,0.79,,digits_08
1,5,mixed,2,2,0.0951965102362979,0.0981403760922655,0.899,0.9,,digits_08
0,5,gate,2,3,0.4150529233825937,0.3413628905366295,0.757,0.6,,digits_08
1,5,mixed,2,3,0.572701594283273,0.4919486583329525,0.895,0.83,,digits_08
0,5,gate,2,4,0.1786331449710367,0.4055461741234324,0.698,0.63,,digits_08
1,5,mixed,2,4,0.0731330881321285,0.5513852990963131,0.8260000000000001,0.75,,digits_08
0,5,gate,2,5,0.2684291987601504,0.2778038848529032,0.53,0.51,,digits_08
1,5,mixed,2,5,0.6471990082553551,0.6033212062451284,0.89,0.85,,digits_08
0,6,gate,2,0,0.3265699017215031,0.2100182344548847,0.834,0.67,,digits_08
1,6,mixed,2,0,0.5683476720512395,0.1431192141740632,0.941,0.8,,digits_08
