n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
20,gate,2,4,0.24959199331401993,0.25061862988633804,0.5714285714285714,0.6666666666666667,0.04954728135815271,iris
20,mixed,2,4,0.2492329723620999,0.2506707557838536,0.5714285714285714,0.6666666666666667,0.0009878157035113787,iris
