n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
35,gate,2,0,0.1842877653126151,0.2490273484286803,0.9,0.6,0.016562706627717486,iris
35,mixed,2,0,0.12828823548928375,0.2562693137034971,0.9142857142857143,0.5,7.696862805215812e-05,iris
