n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
20,gate,2,3,0.24996541995084906,0.24998089886919017,0.5,0.5,0.04788491135018469,helix
20,mixed,2,3,0.25017107487385243,0.250238169976543,0.5,0.5,0.001009545779574675,helix
