n_qubits,n_layers,seed,dataset,model,train_loss,test_loss,acc_train,acc_test,lr
2,20,4,digits_08,gate,0.136003447220642,0.288712581252329,0.95,0.64,0.0298416462199938
2,20,5,digits_08,gate,0.2302651325096125,0.2758130422246129,0.9433333333333334,0.5,0.0292401623262357
2,21,0,digits_08,gate,0.1391930220606318,0.2314926688812491,0.96,0.53,0.0154811605357293
2,25,0,digits_08,gate,0.1571141932897282,0.2299223281207761,0.95,0.51,0.0173118885102757
2,25,1,digits_08,gate,0.1629046651288639,0.2540884786404102,0.8133333333333334,0.64,0.0180730315633009
2,25,2,digits_08,gate,0.1722625655292301,0.2242595468134913,0.9,0.53,0.0142924551255755
2,25,3,digits_08,gate,0.3429666202277543,0.2843266123204877,0.59,0.6799999999999999,0.0131540731586062
2,25,4,digits_08,gate,0.1512131921421971,0.2593908606529438,0.9433333333333334,0.59,0.0125829988882468
2,25,5,digits_08,gate,0.2343251944576385,0.2728830595252123,0.9266666666666666,0.53,0.0105667744376123
2,30,0,digits_08,gate,0.1740076450594017,0.2363827008273498,0.95,0.5,0.0098302705821544
2,30,1,digits_08,gate,0.1736232289713961,0.2579046396655871,0.9566666666666668,0.72,0.019753031321666
2,30,2,digits_08,gate,0.1832305478154813,0.2355969488356731,0.9333333333333332,0.5700000000000001,0.0107567922874928
2,30,3,digits_08,gate,0.320239735718214,0.2702678371841133,0.57,0.55,0.0119538835017461
2,30,4,digits_08,gate,0.1683553092240622,0.272973139262026,0.9533333333333334,0.53,0.0184059842491731
2,30,5,digits_08,gate,0.2248111897420562,0.2748690669338594,0.9533333333333334,0.5700000000000001,0.014977648672275
2,35,0,digits_08,gate,0.1839542680887125,0.2388356738906919,0.9733333333333334,0.56,0.0092168320821934
2,35,1,digits_08,gate,0.1840604321603142,0.2553219774650734,0.8033333333333333,0.66,0.0124836935222111
2,35,2,digits_08,gate,0.193291886339439,0.2426747925449466,0.93,0.6,0.0114625824850946
2,35,3,digits_08,gate,0.3151960294137803,0.2689512114154406,0.6733333333333333,0.61,0.0108107924585407
2,35,4,digits_08,gate,0.1817445378300422,0.2577745991192678,0.96,0.56,0.0113793454507998
2,35,5,digits_08,gate,0.2414107628672279,0.2668109049360748,0.94,0.62,0.0115423147099741
2,40,0,digits_08,gate,0.1950086556668877,0.2423299863455023,0.9666666666666668,0.59,0.0153353405729171
2,40,1,digits_08,gate,0.1961336996245897,0.2501920966817919,0.9666666666666668,0.69,0.0161335300544585
2,40,2,digits_08,gate,0.2010851626792318,0.2409432362704892,0.9333333333333332,0.54,0.013332576023093
2,40,3,digits_08,gate,0.3030267713557971,0.2599067485625695,0.69,0.5800000000000001,0.007026591453659
2,40,4,digits_08,gate,0.1927641018852749,0.2576120333581037,0.9733333333333334,0.54,0.0134259685493051
2,40,5,digits_08,gate,0.2348728899507053,0.2492284734734898,0.95,0.54,0.0100333542977156
2,45,0,digits_08,gate,0.2019285190974666,0.245041199659799,0.97,0.59,0.0135080685052693
2,45,1,digits_08,gate,0.2044798091789649,0.2521914192617687,0.92,0.6,0.0088937792129199
2,45,2,digits_08,gate,0.2068151313751843,0.2457847214225063,0.9466666666666668,0.51,0.0094443819335939
2,45,3,digits_08,gate,0.277171223404577,0.254378102136635,0.6266666666666667,0.5,0.0086145388409949
2,45,4,digits_08,gate,0.2013467718123209,0.2514080572952178,0.9633333333333334,0.55,0.0153550190281139
2,45,5,digits_08,gate,0.2408077034201754,0.2558224888575317,0.9466666666666668,0.5,0.0103533515094913
2,50,0,digits_08,gate,0.2111894849822174,0.2449783266970163,0.9666666666666668,0.54,0.0080049542098887
2,50,1,digits_08,gate,0.2172969043510836,0.2468658415439207,0.8233333333333334,0.63,0.0270657413037673
2,50,2,digits_08,gate,0.2140152665406124,0.2446771917758314,0.9366666666666666,0.5800000000000001,0.0063499948669854
2,50,3,digits_08,gate,0.2830770780121336,0.2536770600640879,0.6533333333333333,0.52,0.0041214383208671
2,50,4,digits_08,gate,0.2084628726649967,0.2568261215602246,0.9566666666666668,0.5,0.0090576820496452
2,50,5,digits_08,gate,0.2439427219593349,0.2592559626366826,0.9433333333333334,0.56,0.0071535554934275
2,1,0,digits_08,mixed,0.2458917238212251,0.2920339112339701,0.5733333333333334,0.46,0.0008518212819525
2,1,1,digits_08,mixed,0.2296261355344664,0.2964882028321705,0.5166666666666666,0.55,0.0477805952358838
2,1,2,digits_08,mixed,0.2499395698953264,0.2406490710179067,0.5666666666666667,0.51,0.0009290459171934
2,1,3,digits_08,mixed,0.2882991094103158,0.2093893309429678,0.5133333333333333,0.5,0.0486064167396418
2,1,4,digits_08,mixed,0.2446160536473496,0.2345818188601891,0.5433333333333333,0.6,0.0015039701157368
2,1,5,digits_08,mixed,0.2637639434452886,0.2676627915635838,0.5466666666666666,0.55,5.119330872737638e-05
2,5,0,digits_08,mixed,0.0983382863388371,0.0885289717925882,0.88,0.89,0.0001317808516787
2,5,1,digits_08,mixed,0.0709664570296856,0.4961955565379471,0.92,0.79,0.0001560972908605
2,5,2,digits_08,mixed,0.1176819794806531,0.0981403760922655,0.8533333333333334,0.81,5.927007099736396e-05
2,5,3,digits_08,mixed,0.5544298133309706,0.4919486583329525,0.6766666666666666,0.88,0.0002741985438349
2,5,4,digits_08,mixed,0.0906819013235692,0.5513852990963131,0.8933333333333333,0.73,0.000438538183387
2,5,5,digits_08,mixed,0.1281100441638426,0.6033212062451284,0.9233333333333332,0.85,0.0001003029358231
2,6,0,digits_08,mixed,0.0381880846019923,0.1431192141740632,0.9566666666666668,0.18,0.0001592030594233
2,10,0,digits_08,mixed,0.0923726475776731,0.1268147554329697,0.9033333333333332,0.81,0.0001137918734739
2,10,1,digits_08,mixed,0.0607130406094673,0.3963036296987773,0.94,0.87,0.000216180115233
2,10,2,digits_08,mixed,0.1016689764732849,0.1080158819549737,0.89,0.62,0.0001657641613906
2,10,3,digits_08,mixed,0.5539718583500989,0.4124225309824417,0.5833333333333334,0.83,0.0001796244878857
2,10,4,digits_08,mixed,0.0813908323876276,0.4815076909444731,0.91,0.78,0.0001682858166888
2,10,5,digits_08,mixed,0.2377664366824953,0.6086602314834333,0.9466666666666668,0.85,0.0001254206227496
2,11,0,digits_08,mixed,0.0394991178406538,0.1684436866561967,0.9633333333333334,0.16,7.445816738694791e-05
2,15,0,digits_08,mixed,0.0926514475626561,0.1197040950916521,0.92,0.84,6.994240818306642e-05
2,15,1,digits_08,mixed,0.0694039229274665,0.3294106857210381,0.95,0.87,0.000184390911083
2,15,2,digits_08,mixed,0.1050967290347607,0.1352901897186854,0.9033333333333332,0.52,0.0001442563131531
2,15,3,digits_08,mixed,0.5330606250304121,0.4354776355118835,0.5733333333333334,0.9,0.0001895516634981
2,15,4,digits_08,mixed,0.0801850618660988,0.4743803283539005,0.9266666666666666,0.78,9.746908025073534e-05
