,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,dataset,p
149,2,20,0,0.2495206897807281,0.5366666666666666,0.56,0.040079453183501,0.2490650316955173,0.77,0.74,0.0011374245547779,digits_08,0.18
153,2,20,0,0.2495206897807281,0.5366666666666666,0.56,0.040079453183501,0.2490650316955173,0.77,0.74,0.0011374245547779,digits_08,0.18
175,2,20,0,0.2496221599268668,0.5366666666666666,0.56,0.0434558736717768,0.2493892625665165,0.6666666666666666,0.65,0.0002708302325606,digits_08,0.21
178,2,20,0,0.2496221599268668,0.5366666666666666,0.56,0.0434558736717768,0.2493892625665165,0.6666666666666666,0.65,0.0002708302325606,digits_08,0.21
199,2,20,0,0.249724721690675,0.5366666666666666,0.56,0.0398885404100942,0.2495894947530894,0.5366666666666666,0.56,0.0003193745683892,digits_08,0.24
202,2,20,0,0.249724721690675,0.5366666666666666,0.56,0.0398885404100942,0.2495894947530894,0.5366666666666666,0.56,0.0003193745683892,digits_08,0.24
224,2,20,0,0.2497830005863482,0.5366666666666666,0.56,0.0499969414133782,0.2497356895009573,0.5366666666666666,0.56,0.0003210715076273,digits_08,0.27
227,2,20,0,0.2497830005863482,0.5366666666666666,0.56,0.0499969414133782,0.2497356895009573,0.5366666666666666,0.56,0.0003210715076273,digits_08,0.27
248,2,20,0,0.249812070261039,0.5366666666666666,0.56,0.0360580122083644,0.2497826125411965,0.5366666666666666,0.56,0.0149147871603952,digits_08,0.3
251,2,20,0,0.249812070261039,0.5366666666666666,0.56,0.0360580122083644,0.2497826125411965,0.5366666666666666,0.56,0.0149147871603952,digits_08,0.3
0,2,20,1,0.1452248174201609,0.9166666666666667,0.65,0.0364563609798083,0.0788241411935364,0.9466666666666667,0.87,5.664513789930698e-05,digits_08,0.0
9,2,20,1,0.1452248174201609,0.9166666666666667,0.65,0.0364563609798083,0.0788241411935364,0.9466666666666667,0.87,5.664513789930698e-05,digits_08,0.0
97,2,20,1,0.1052302257072054,0.96,0.66,0.0243126028020155,0.0662735848202018,0.9433333333333334,0.78,0.0001309294633379,digits_08,0.0
25,2,20,1,0.2443981738156645,0.6466666666666667,0.7,0.0286000875192323,0.2166811836468157,0.9333333333333333,0.88,0.000236429101953,digits_08,0.03
33,2,20,1,0.2443981738156645,0.6466666666666667,0.7,0.0286000875192323,0.2166811836468157,0.9333333333333333,0.88,0.000236429101953,digits_08,0.03
48,2,20,1,0.2477103745260961,0.8066666666666666,0.71,0.0434146260538316,0.2401059926379582,0.9166666666666667,0.81,0.0001908144631463,digits_08,0.06
57,2,20,1,0.2477103745260961,0.8066666666666666,0.71,0.0434146260538316,0.2401059926379582,0.9166666666666667,0.81,0.0001908144631463,digits_08,0.06
72,2,20,1,0.2487228916104301,0.8,0.55,0.0496506633660696,0.2453467442396236,0.8566666666666667,0.77,0.0006629382871605,digits_08,0.06
73,2,20,1,0.248585888307359,0.7933333333333333,0.55,0.0498574583551917,0.2452775011212107,0.8766666666666667,0.75,0.000273524473619,digits_08,0.09
