n_qubits,n_layers,seed,gate_train_loss,mixed_train_loss,gate_acc_train,mixed_acc_train,gate_acc_test,mixed_acc_test,gate_lr,mixed_lr,dataset,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr
2,6,0,0.0816566932725622,0.0381880846019923,0.9366666666666666,0.9566666666666668,0.43,0.18,0.0497264092110268,0.0001592030594233,digits_08,,,,
2,10,0,0.1125498033246762,0.0923726475776731,0.91,0.9033333333333332,0.54,0.81,0.0222588918101013,0.0001137918734739,digits_08,0.0947538458328887,0.8866666666666667,0.6,0.0003910312781649
2,10,1,0.119989322383577,0.0607130406094673,0.7966666666666666,0.94,0.64,0.87,0.0159007151755017,0.000216180115233,digits_08,0.1116511941533209,0.89,0.61,0.0001928756832202
2,10,2,0.1330880564053372,0.1016689764732849,0.8666666666666667,0.89,0.58,0.62,0.0163597188787288,0.0001657641613906,digits_08,0.110086032048141,0.8733333333333333,0.51,0.0001166112850869
2,10,3,0.410760131233814,0.5539718583500989,0.6,0.5833333333333334,0.64,0.83,0.0161777157647095,0.0001796244878857,digits_08,0.5541548863906578,0.5533333333333333,0.76,0.0001188804094948
2,10,4,0.1011169956203589,0.0813908323876276,0.9233333333333332,0.91,0.62,0.78,0.0442648553285861,0.0001682858166888,digits_08,,,,
2,10,5,0.1892873767956869,0.2377664366824953,0.93,0.9466666666666668,0.5800000000000001,0.85,0.0338783142171087,0.0001254206227496,digits_08,,,,
2,11,0,0.1012219628331104,0.0394991178406538,0.9533333333333334,0.9633333333333334,0.53,0.16,0.0205450465086642,7.445816738694791e-05,digits_08,,,,
2,15,0,0.1249523499050434,0.0926514475626561,0.92,0.92,0.59,0.84,0.0276288258398894,6.994240818306642e-05,digits_08,0.0938542507317047,0.91,0.64,0.0001949796216181
2,15,1,0.1347129796421678,0.0694039229274665,0.9233333333333332,0.95,0.7,0.87,0.0146950030856364,0.000184390911083,digits_08,0.121147715320838,0.8733333333333333,0.6,0.0001296497630082
2,15,2,0.1462424393706615,0.1050967290347607,0.9,0.9033333333333332,0.64,0.52,0.0209198494281548,0.0001442563131531,digits_08,0.1167353927473857,0.8866666666666667,0.53,0.0001370290812594
2,15,3,0.4038510431968923,0.5330606250304121,0.6333333333333333,0.5733333333333334,0.72,0.9,0.0125767049104097,0.0001895516634981,digits_08,0.4956934019555751,0.64,0.77,0.0001135664925389
2,15,4,0.115958212218565,0.0801850618660988,0.95,0.9266666666666666,0.53,0.78,0.0170018403507053,9.746908025073534e-05,digits_08,,,,
2,15,5,0.2562615458403074,0.1445856357037586,0.97,0.94,0.55,0.85,0.0149745022034115,8.294050780318216e-05,digits_08,,,,
2,16,0,0.1185388620634726,0.055243046451925,0.9633333333333334,0.9633333333333334,0.5,0.15,0.0209129905566639,7.15620187635356e-05,digits_08,,,,
2,20,0,0.1444974043158028,0.1053204566365291,0.9366666666666666,0.9066666666666666,0.53,0.84,0.0204234522361044,0.0002694306001559,digits_08,0.1084955807249304,0.9333333333333332,0.62,0.0002010819971386
2,20,1,0.1441612334177046,0.0803906913253195,0.8666666666666667,0.94,0.59,0.87,0.0091072637082952,6.166421915144874e-05,digits_08,0.1239854967271205,0.89,0.62,8.77943135675485e-05
2,20,2,0.1624267159021935,0.1137892374292519,0.8966666666666666,0.8866666666666667,0.52,0.53,0.0084609203140555,0.0001698077018579,digits_08,0.1220025406461503,0.88,0.6,8.0359073855508e-05
2,20,3,0.3551682615488282,0.5028911915012825,0.6133333333333333,0.5766666666666667,0.7,0.87,0.01168740395985,0.0001330905184359,digits_08,0.4932388306085096,0.77,0.8,5.217990668495016e-05
2,20,4,0.136003447220642,0.0893436718789509,0.95,0.93,0.64,0.79,0.0298416462199938,0.0001631662376138,digits_08,,,,
2,20,5,0.2302651325096125,0.204576860795529,0.9433333333333334,0.95,0.5,0.84,0.0292401623262357,7.115293728760521e-05,digits_08,,,,
2,21,0,0.1391930220606318,0.0648192492954645,0.96,0.97,0.53,0.21,0.0154811605357293,6.831776604274049e-05,digits_08,,,,
2,25,0,0.1571141932897282,0.1065762551833863,0.95,0.9,0.51,0.84,0.0173118885102757,5.860652918141303e-05,digits_08,0.1128797632532948,0.9366666666666666,0.65,6.627873247590377e-05
2,25,1,0.1629046651288639,0.0942777014234922,0.8133333333333334,0.94,0.64,0.83,0.0180730315633009,0.0001465347169315,digits_08,0.1404654855927232,0.8733333333333333,0.63,5.84235038569512e-05
2,25,2,0.1722625655292301,0.1182714156284265,0.9,0.8966666666666666,0.53,0.64,0.0142924551255755,0.0001593453490363,digits_08,0.1358240305703078,0.8866666666666667,0.51,8.778525762403788e-05
2,25,3,0.3429666202277543,0.4603929781703378,0.59,0.6333333333333333,0.6799999999999999,0.76,0.0131540731586062,6.271627076661464e-05,digits_08,0.4503525847304337,0.5866666666666667,0.73,0.0001015152563537
2,25,4,0.1512131921421971,0.0980643450379707,0.9433333333333334,0.93,0.59,0.79,0.0125829988882468,0.00013554178559,digits_08,,,,
2,25,5,0.2343251944576385,0.2082438498554829,0.9266666666666666,0.9266666666666666,0.53,0.8200000000000001,0.0105667744376123,6.560459104496791e-05,digits_08,,,,
2,30,0,0.1740076450594017,0.1187855585703999,0.95,0.9066666666666666,0.5,0.78,0.0098302705821544,0.0001095443709233,digits_08,0.1183554906419,0.9166666666666666,0.55,0.0001890077345432
2,30,1,0.1736232289713961,0.1108455219993108,0.9566666666666668,0.94,0.72,0.78,0.019753031321666,5.1951638528023774e-05,digits_08,0.1469798984427108,0.9033333333333332,0.64,0.0001477972177179
2,30,2,0.1832305478154813,0.1319668546338666,0.9333333333333332,0.8933333333333333,0.5700000000000001,0.64,0.0107567922874928,0.0001385676098801,digits_08,0.1382840278266585,0.9033333333333332,0.52,5.3364012782058384e-05
2,30,3,0.320239735718214,0.4368909167880889,0.57,0.5766666666666667,0.55,0.8200000000000001,0.0119538835017461,0.0001111075430739,digits_08,,,,
2,30,4,0.1683553092240622,0.1097182547538294,0.9533333333333334,0.93,0.53,0.84,0.0184059842491731,0.0001314905042597,digits_08,,,,
2,30,5,0.2248111897420562,0.230640505772043,0.9533333333333334,0.92,0.5700000000000001,0.77,0.014977648672275,0.0001816358117493,digits_08,,,,
2,35,0,0.1839542680887125,0.1306337545153142,0.9733333333333334,0.9133333333333332,0.56,0.75,0.0092168320821934,8.398080159718824e-05,digits_08,0.1235039181753913,0.94,0.64,0.0001089603103351
2,35,1,0.1840604321603142,0.2322681908477626,0.8033333333333333,0.6166666666666667,0.66,0.62,0.0124836935222111,0.0032223725362915,digits_08,0.148794165387774,0.91,0.58,6.992466427928498e-05
2,35,2,0.193291886339439,0.1399882573589336,0.93,0.8933333333333333,0.6,0.5800000000000001,0.0114625824850946,6.319367704790651e-05,digits_08,0.1435719497814405,0.91,0.56,0.0001491049770001
2,35,3,0.3151960294137803,0.4078292152802836,0.6733333333333333,0.5733333333333334,0.61,0.84,0.0108107924585407,5.9692656352460585e-05,digits_08,,,,
2,35,4,0.1817445378300422,0.1244795420305134,0.96,0.92,0.56,0.78,0.0113793454507998,9.454700517547996e-05,digits_08,,,,
2,35,5,0.2414107628672279,0.208876400927028,0.94,0.92,0.62,0.81,0.0115423147099741,6.361335880715856e-05,digits_08,,,,
2,40,0,0.1950086556668877,0.1427828965899946,0.9666666666666668,0.9066666666666666,0.59,0.81,0.0153353405729171,0.0001898847993262,digits_08,0.1423663793197076,0.9533333333333334,0.6,0.0001134874604036
2,40,1,0.1961336996245897,0.1300607397633979,0.9666666666666668,0.9333333333333332,0.69,0.78,0.0161335300544585,5.961647058908421e-05,digits_08,0.2349732829179744,0.6233333333333333,0.6,0.0157608844067621
2,40,2,0.2010851626792318,0.1448560789517325,0.9333333333333332,0.9,0.54,0.5700000000000001,0.013332576023093,7.324927339799763e-05,digits_08,0.1629705159962164,0.9066666666666666,0.63,0.0001420652064618
2,40,3,0.3030267713557971,0.3979888401828002,0.69,0.6966666666666667,0.5800000000000001,0.84,0.007026591453659,6.310098951612061e-05,digits_08,,,,
2,40,4,0.1927641018852749,0.1320139354468715,0.9733333333333334,0.9266666666666666,0.54,0.77,0.0134259685493051,5.0957618930132094e-05,digits_08,,,,
2,40,5,0.2348728899507053,0.2371316180173655,0.95,0.9066666666666666,0.54,0.75,0.0100333542977156,0.0001374737574108,digits_08,,,,
2,45,0,0.2019285190974666,0.1435637871646261,0.97,0.91,0.59,0.72,0.0135080685052693,0.000133160805466,digits_08,0.1503120314643908,0.9333333333333332,0.6,9.009098869327487e-05
2,45,1,0.2044798091789649,0.1408377203745315,0.92,0.9533333333333334,0.6,0.77,0.0088937792129199,6.417275172236758e-05,digits_08,0.1634668297986869,0.9133333333333332,0.59,0.0001238792515345
2,45,2,0.2068151313751843,0.1611986851213865,0.9466666666666668,0.8933333333333333,0.51,0.53,0.0094443819335939,5.7907506853635946e-05,digits_08,0.1624257947347288,0.92,0.5700000000000001,8.559354021153397e-05
2,45,3,0.277171223404577,0.3706303980020892,0.6266666666666667,0.6333333333333333,0.5,0.85,0.0086145388409949,0.0001195599559785,digits_08,,,,
2,45,4,0.2013467718123209,0.1421358824218689,0.9633333333333334,0.9266666666666666,0.55,0.77,0.0153550190281139,6.0055222273402754e-05,digits_08,,,,
2,45,5,0.2408077034201754,0.2152022361180483,0.9466666666666668,0.92,0.5,0.77,0.0103533515094913,5.426518444943236e-05,digits_08,,,,
2,50,0,0.2111894849822174,0.1521233179106207,0.9666666666666668,0.9333333333333332,0.54,0.7,0.0080049542098887,6.061713261508028e-05,digits_08,0.1591675011626688,0.9433333333333334,0.64,7.47652360003916e-05
2,50,1,0.2172969043510836,0.1468650972111954,0.8233333333333334,0.9433333333333334,0.63,0.75,0.0270657413037673,0.0001326473988733,digits_08,0.1719546380378995,0.9133333333333332,0.56,5.469767114567341e-05
2,50,2,0.2140152665406124,0.1641379781126509,0.9366666666666666,0.9166666666666666,0.5800000000000001,0.61,0.0063499948669854,0.0001360825123024,digits_08,0.1699385335133286,0.91,0.52,8.248780507674755e-05
2,50,3,0.2830770780121336,0.3691992634413295,0.6533333333333333,0.67,0.52,0.76,0.0041214383208671,5.400364453468137e-05,digits_08,,,,
2,50,4,0.2084628726649967,0.1477480023798823,0.9566666666666668,0.9366666666666666,0.5,0.75,0.0090576820496452,8.435017929587714e-05,digits_08,,,,
2,50,5,0.2439427219593349,0.2239761656922841,0.9433333333333334,0.91,0.56,0.8,0.0071535554934275,0.0001241279765781,digits_08,,,,
