n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
20,gate,2,2,0.24980105659775131,0.24969114190887168,0.5285714285714286,0.5666666666666667,0.0468290241577517,iris
20,mixed,2,2,0.248835799815657,0.24921752886644957,0.9571428571428572,0.8333333333333334,0.0005818497513700102,iris
