n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
20,gate,2,0,0.24974406171918384,0.25020770105590134,0.5366666666666666,0.56,0.04965104482947309,digits_08
20,mixed,2,0,0.2494768649797734,0.2503863343619737,0.5366666666666666,0.56,0.00047765901313218844,digits_08
