n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
40,gate,2,3,0.3030216801669718,0.2592013750731052,0.67,0.5900000000000001,0.01436311207445882,corners3d
40,mixed,2,3,0.3623767422754608,0.334256629001847,0.6666666666666666,0.8200000000000001,8.745482189237305e-05,corners3d
