n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
30,gate,2,3,0.3426849802082421,0.2937332858644895,0.6833333333333333,0.7,0.012733222061664622,helix
30,mixed,2,3,0.4397102702165123,0.40931959624278336,0.81,0.9,0.0002312826840634555,helix
35,gate,2,3,0.3233063435997368,0.28803317862500327,0.6266666666666667,0.77,0.009232201625117672,helix
35,mixed,2,3,0.43600635510714747,0.41730112384401985,0.5033333333333334,0.92,0.0001339771578390863,helix
40,gate,2,3,0.30856084806379225,0.27716772665795625,0.68,0.74,0.00799105477405711,helix
40,mixed,2,3,0.42151966247381856,0.3919024736406223,0.6066666666666667,0.9299999999999999,6.085672283531831e-05,helix
