n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
20,gate,2,2,0.14747253174427724,0.277863893940838,0.9433333333333334,0.6,0.015895671027960658,helix
20,mixed,2,2,0.08645498855455981,0.3238822896120292,0.97,0.71,0.0002060020996183633,helix
25,gate,2,2,0.1620794173707654,0.27434884696431433,0.9366666666666666,0.62,0.01473511989091276,helix
25,mixed,2,2,0.08720692130925606,0.32056085538745466,0.9866666666666667,0.62,0.00015012808302691555,helix
30,gate,2,2,0.17598547408974316,0.2641761127436688,0.9566666666666667,0.5900000000000001,0.019207194277387533,helix
30,mixed,2,2,0.10278082638746237,0.2997209911094116,0.9933333333333333,0.6599999999999999,0.00011194322912964617,helix
