n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
1,gate,2,2,0.18514517054488858,0.4675086801049167,0.7133333333333334,0.73,0.01618294539933157,corners3d
1,mixed,2,2,0.23162160898368556,0.27474671856815674,0.6733333333333333,0.63,0.0009634117618621821,corners3d
5,gate,2,2,0.15879598495064004,0.2822410302483091,0.7866666666666666,0.5900000000000001,0.03964986376908121,corners3d
5,mixed,2,2,0.12932016707262345,0.2876491845108957,0.8366666666666667,0.76,0.0002546548884880925,corners3d
10,gate,2,2,0.14846831311984673,0.29008279167401463,0.86,0.6599999999999999,0.023699423579758863,corners3d
10,mixed,2,2,0.115256445947891,0.3800005568767624,0.8833333333333333,0.51,0.00019861534165002722,corners3d
15,gate,2,2,0.15241999352892743,0.2693749806491713,0.8966666666666666,0.55,0.013952984709773913,corners3d
15,mixed,2,2,0.13258228294422178,0.3128032099849865,0.8733333333333333,0.5800000000000001,6.352217098283994e-05,corners3d
20,gate,2,2,0.16166786812052,0.2634730905327254,0.91,0.5800000000000001,0.012311570786848174,corners3d
20,mixed,2,2,0.12261798678575407,0.3186848987860368,0.92,0.6599999999999999,7.781690639762482e-05,corners3d
25,gate,2,2,0.1797932741788972,0.25544036949833543,0.8933333333333333,0.56,0.005210178910925916,corners3d
25,mixed,2,2,0.1421965871481858,0.28583486452864754,0.9066666666666666,0.56,0.0002143901005302152,corners3d
30,gate,2,2,0.1819943277459047,0.2514591530799832,0.9566666666666667,0.53,0.018036610901767995,corners3d
30,mixed,2,2,0.1483089678811337,0.2888666881349913,0.9033333333333333,0.52,0.00011205851755732927,corners3d
