n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
1,gate,2,3,0.2274822582524353,0.19777266823141193,0.65,0.72,0.008473737226190384,corners3d
1,mixed,2,3,0.26983955375885366,0.26800636354221263,0.5533333333333333,0.5900000000000001,0.00015120999476954427,corners3d
5,gate,2,3,0.41552896776475723,0.413489433106603,0.5866666666666667,0.78,0.04966917801514003,corners3d
5,mixed,2,3,0.40057081612121,0.43398970021351674,0.5633333333333334,0.84,0.00029910436310184776,corners3d
10,gate,2,3,0.38100260079241965,0.32202450067016847,0.6566666666666666,0.63,0.01857423818404509,corners3d
10,mixed,2,3,0.46452530240861695,0.45100310140336264,0.5966666666666667,0.79,0.0002527855307418526,corners3d
15,gate,2,3,0.29724445567121727,0.2853393313368197,0.5066666666666667,0.5700000000000001,0.02779969028717771,corners3d
15,mixed,2,3,0.4423219516079166,0.4465032963137706,0.6,0.88,0.00016247164846970165,corners3d
20,gate,2,3,0.3528130440717465,0.2973917118862009,0.61,0.6599999999999999,0.016177371303288165,corners3d
20,mixed,2,3,0.42077046298199555,0.37934006666333375,0.5666666666666667,0.73,9.474942896646033e-05,corners3d
25,gate,2,3,0.3056827204574528,0.2699602792613352,0.5433333333333333,0.6,0.018106878091759097,corners3d
25,mixed,2,3,0.3932889135601813,0.3728846421820073,0.66,0.81,0.00021540198285841525,corners3d
30,gate,2,3,0.3241676690608937,0.27035802566524425,0.7,0.5900000000000001,0.018414893628226688,corners3d
30,mixed,2,3,0.39319338380121177,0.3575225168098823,0.6266666666666667,0.79,0.00011109398450649658,corners3d
