n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
1,gate,2,1,0.188010595147484,0.2329883232447173,0.6766666666666666,0.72,0.02772655287965291,corners3d
1,mixed,2,1,0.24743780984031663,0.2633173250559059,0.6266666666666667,0.53,5.433862469466905e-05,corners3d
5,gate,2,1,0.15838701642103808,0.25979522030991736,0.6033333333333333,0.63,0.0056563344803898805,corners3d
5,mixed,2,1,0.1649803841147297,0.317927853669098,0.77,0.74,0.0004968175272243232,corners3d
10,gate,2,1,0.14369218674292406,0.2862627937209687,0.6366666666666667,0.59,0.03109838073113603,corners3d
10,mixed,2,1,0.12312953005821323,0.344193210438598,0.8666666666666667,0.78,0.0004240167998957885,corners3d
15,gate,2,1,0.14897369062463986,0.2670367352136167,0.7866666666666666,0.59,0.015518229685031514,corners3d
15,mixed,2,1,0.1301672211167572,0.34839537127493003,0.87,0.78,0.00023106641607668397,corners3d
20,gate,2,1,0.16052539817752592,0.26667023642083426,0.7966666666666666,0.63,0.02507528251293194,corners3d
20,mixed,2,1,0.145101446632587,0.29004299593449734,0.86,0.75,0.00016006476866078253,corners3d
25,gate,2,1,0.16833965812874885,0.2526744308502273,0.9166666666666666,0.52,0.018507548168886744,corners3d
25,mixed,2,1,0.14500919688334282,0.2669058762101414,0.8866666666666667,0.67,7.66198112881296e-05,corners3d
30,gate,2,1,0.18165645219977203,0.2637541911389896,0.9333333333333333,0.59,0.01286217497992834,corners3d
30,mixed,2,1,0.15601704539691383,0.2811358161165046,0.88,0.62,6.219725860471243e-05,corners3d
