"Qubit",T1 (us),T2 (us),"Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"70","227.77890493156306","185.22888942830687","4.898858601235684","-0.3082399407301921","0.074951171875","0.0673828125","0.08251953125","1300","0.00016626653350408768","0","0.00016626653350408768","0.00016626653350408768","","","true"
"71","306.32044549857744","326.09665162034844","4.788272895785985","-0.3094663460422399","0.012939453125","0.015625","0.01025390625","1300","0.00014658874932788","0","0.00014658874932788","0.00014658874932788","","","true"
"72","200.50160503936388","144.5482562025404","5.059184594427598","-0.2985458699744989","0.021240234375","0.01708984375","0.025390625","1300","0.00017364307203517849","0","0.00017364307203517849","0.00017364307203517849","","","true"
"73","239.44324501368044","161.29837059363646","4.9795851212045275","-0.307607369486609","0.013916015625","0.01318359375","0.0146484375","1300","0.0002814551324736445","0","0.0002814551324736445","0.0002814551324736445","73_66:0.010122738058329694","73_66:660","true"
"74","183.81928105833282","93.51425045114173","5.031458244759104","-0.3067427013413316","0.01123046875","0.013671875","0.0087890625","1300","0.00039273888143549936","0","0.00039273888143549936","0.00039273888143549936","74_70:0.010766061120386416;74_89:0.01706717321259016","74_70:660;74_89:660","true"
"75","246.28813052002582","31.568957229318617","5.006062995804142","-0.30673349842246334","0.021240234375","0.01171875","0.03076171875","1300","0.0001997548216546544","0","0.0001997548216546544","0.0001997548216546544","75_90:0.007134781394135814","75_90:660","true"
"76","111.89737016417627","67.63584568663634","4.837425711457021","-0.30948286299394656","0.017333984375","0.02392578125","0.0107421875","1300","0.00037589453429290613","0","0.00037589453429290613","0.00037589453429290613","76_75:0.00927291341101466","76_75:660","true"
"77","216.56921194900636","102.25166987124499","5.041921132252588","-0.30723078653018854","0.039794921875","0.03759765625","0.0419921875","1300","0.000520598036136907","0","0.000520598036136907","0.000520598036136907","77_76:0.009275784111161867;77_78:0.008496581043900053;77_71:0.006939690436039314","77_76:660;77_78:780;77_71:660","true"
"78","130.83633926001872","141.79355158246136","4.6434105862237205","-0.31230747337772335","0.008544921875","0.00830078125","0.0087890625","1300","0.00017549923408709332","0","0.00017549923408709332","0.00017549923408709332","","","true"
"79","223.00050197114828","78.02289057945518","4.863175305553237","-0.3092713261857367","0.011474609375","0.0126953125","0.01025390625","1300","0.00020109013270736817","0","0.00020109013270736817","0.00020109013270736817","79_78:0.005404915114809339;79_80:0.011452396637907591","79_78:660;79_80:660","true"
"80","277.07091561752065","367.66457033562205","5.031460097391662","-0.3072198090686745","0.025634765625","0.0185546875","0.03271484375","1300","0.00021230844947952928","0","0.00021230844947952928","0.00021230844947952928","80_81:0.0075129011001836","80_81:660","true"
"81","253.16292816570615","319.68713232471407","4.930437743108918","-0.30841914125984865","0.045166015625","0.044921875","0.04541015625","1300","0.00013926331035433624","0","0.00013926331035433624","0.00013926331035433624","81_82:0.0060509549715531685;81_72:0.006064657885497704","81_82:660;81_72:660","true"
"82","203.69821314734978","273.9631167693738","4.893648278016442","-0.30897996872816896","0.068359375","0.09716796875","0.03955078125","1300","0.0007868303186420665","0","0.0007868303186420665","0.0007868303186420665","82_83:0.009532353992522558","82_83:660","true"
"83","219.11245848973954","47.32167407949254","4.790690738175367","-0.31061744032224003","0.01123046875","0.01318359375","0.00927734375","1300","0.0003210423737049069","0","0.0003210423737049069","0.0003210423737049069","83_92:0.007420371947479465","83_92:660","true"
"84","209.49419562826387","142.75870701019312","4.6796839379561925","-0.31137294267603616","0.01171875","0.01611328125","0.00732421875","1300","0.0002812217364222945","0","0.0002812217364222945","0.0002812217364222945","84_83:0.009004122127463488","84_83:660","true"
"85","254.22202972767303","195.3120410147929","5.1047827209603005","-0.3061413803895981","0.01025390625","0.00341796875","0.01708984375","1300","0.0001759103194117308","0","0.0001759103194117308","0.0001759103194117308","85_73:0.007630139803045721;85_84:0.04351660833847265;85_86:0.00829784025030772","85_73:660;85_84:660;85_86:660","true"
