"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"10","333.0972248530848","70.78559651798942","4.628363955671804","0","0.006900000000000017","0.0086","0.005199999999999982","1244.4444444444443","0.00020939838665618647","0","0.00020939838665618647","0.00020939838665618647","10_11:0.010317901389749612;10_9:0.011403646005044288","10_11:561.7777777777777;10_9:561.7777777777777","true"
"11","359.99534509010743","298.5761671469688","4.571515504739542","-0.31187801080194943","0.013700000000000045","0.0162","0.011199999999999988","1244.4444444444443","0.00024330841395353122","0","0.00024330841395353122","0.00024330841395353122","11_12:0.009514321318928848","11_12:561.7777777777777","true"
"12","370.8592943085923","378.7472650544411","4.46432662779442","-0.3114335997689411","0.014499999999999957","0.0132","0.015800000000000036","1244.4444444444443","0.00019179647737416786","0","0.00019179647737416786","0.00019179647737416786","","","true"
"13","248.1074214178285","79.4803944927595","4.573360205852741","0","0.012700000000000045","0.014800000000000035","0.0106","1244.4444444444443","0.00014432695170952218","0","0.00014432695170952218","0.00014432695170952218","13_12:0.005940687282594642","13_12:561.7777777777777","true"
"14","379.9745593628368","363.80734763250877","4.6039835538699","-0.3075149117337717","0.0028000000000000247","0.0036000000000000476","0.002","1244.4444444444443","0.00020019487726783384","0","0.00020019487726783384","0.00020019487726783384","14_18:0.004742377964764621","14_18:561.7777777777777","true"
"15","356.4614311169043","68.74912339911853","4.496106146203193","-0.3235838974181829","0.15625","0.12109375","0.19140625","1244.4444444444443","0.0005338825649612483","0","0.0005338825649612483","0.0005338825649612483","","","true"
"16","324.79906453010193","105.54244694519485","4.513225047749997","-0.31250997509736017","0.007600000000000051","0.008399999999999963","0.0068","1244.4444444444443","0.0001704412901484538","0","0.0001704412901484538","0.0001704412901484538","16_8:0.010983827999887619","16_8:561.7777777777777","true"
"17","336.0209844982347","52.92562934846571","4.675807227791691","-0.3222371456169295","0.09989999999999999","0.114","0.08579999999999999","1244.4444444444443","0.0008308078469417478","0","0.0008308078469417478","0.0008308078469417478","17_12:0.013397802555437738;17_30:0.014134145350164301","17_12:561.7777777777777;17_30:561.7777777777777","true"
"18","324.77897746460775","48.885981960273575","4.514792743432676","-0.32147907217387134","0.0244140625","0.00390625","0.044921875","1244.4444444444443","0.0001150932410595185","0","0.0001150932410595185","0.0001150932410595185","","","true"
"19","310.8901853339158","190.68628282323633","4.444137577935621","-0.3142519677447134","0.0537109375","0.02734375","0.080078125","1244.4444444444443","0.00017441047201179828","0","0.00017441047201179828","0.00017441047201179828","19_18:0.006001524047057061","19_18:561.7777777777777","true"
"20","518.9982327589871","487.2659805391904","4.341286354537801","-0.31659680563840864","0.134765625","0.048828125","0.220703125","1244.4444444444443","0.0003460092611033788","0","0.0003460092611033788","0.0003460092611033788","20_19:0.005806380074597661","20_19:561.7777777777777","true"
"21","401.5919259013922","179.96887414196812","4.485182538317543","-0.3137510643214938","0.010599999999999943","0.0098","0.011399999999999966","1244.4444444444443","0.0003640208870453743","0","0.0003640208870453743","0.0003640208870453743","21_22:0.007721399397180334;21_20:0.016493380826150095","21_22:561.7777777777777;21_20:561.7777777777777","true"
"22","367.45175282731907","210.75959445299043","4.38294794193401","-0.3235699465364606","0.0625","0.01953125","0.10546875","1244.4444444444443","0.00020769043268438668","0","0.00020769043268438668","0.00020769043268438668","22_23:0.004868732064010284;22_15:0.013039642265917029","22_23:561.7777777777777;22_15:561.7777777777777","true"
"23","271.55911318712964","200.5927789453972","4.531770138899665","-0.34910557092715694","0.02059999999999995","0.024599999999999955","0.0166","1244.4444444444443","0.00010563488108318182","0","0.00010563488108318182","0.00010563488108318182","23_24:0.015056498294532816","23_24:561.7777777777777","true"
"24","226.99038217504807","61.6108214703601","4.646168150603589","-0.3098937587669715","0.007800000000000029","0.008399999999999963","0.0072","1244.4444444444443","0.0005797307962519742","0","0.0005797307962519742","0.0005797307962519742","24_25:0.008044525488352383","24_25:561.7777777777777","true"
"25","257.7690250617068","309.645763464004","4.702185635431523","-0.3104687819443247","0.006299999999999972","0.007399999999999962","0.0052","1244.4444444444443","0.0001371886967578627","0","0.0001371886967578627","0.0001371886967578627","","","true"
"26","95.22434991067564","77.620053547471","4.648810897719054","0","0.04630000000000001","0.08440000000000003","0.0082","1244.4444444444443","0.0018575125293854502","0","0.0018575125293854502","0.0018575125293854502","26_16:0.01071803739719479;26_27:0.014559558439768167;26_25:0.03162996564519546","26_16:561.7777777777777;26_27:561.7777777777777;26_25:561.7777777777777","true"
"27","293.9579778535123","73.98309932788106","4.609844054523445","-0.2878947957747321","0.04719999999999991","0.0396","0.05479999999999996","1244.4444444444443","0.0004968357491413175","0","0.0004968357491413175","0.0004968357491413175","","","true"
