"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"0","81.71833266973655","61.42055077596631","0.0024999999999999467","0.0040000000000000036","0.001","2100","0.00025580433720088683","0.00025580433720088683","0","0.00025580433720088683","0.00025580433720088683","0_1:0.0015144505375755124","0_1:68","true"
"1","199.80564077560604","182.92026909907813","0.0045999999999999375","0.007399999999999962","0.0018","2100","0.0002307202130030908","0.0002307202130030908","0","0.0002307202130030908","0.0002307202130030908","1_2:0.0009378958947645344;1_0:0.0015144505375755124","1_2:68;1_0:68","true"
"2","305.4188423021846","260.43755320639985","0.01090000000000002","0.014800000000000035","0.007","2100","0.0001465111377651422","0.0001465111377651422","0","0.0001465111377651422","0.0001465111377651422","2_1:0.0009378958947645344;2_3:0.002584705419972577","2_1:68;2_3:68","true"
"3","266.239570959683","225.61597571605077","0.0045999999999999375","0.0072","0.0020000000000000018","2100","0.00015500463717403986","0.00015500463717403986","0","0.00015500463717403986","0.00015500463717403986","3_16:0.006269982060932627;3_2:0.002584705419972577;3_4:0.006441635953893465","3_16:68;3_2:68;3_4:80","true"
"4","234.39534153617285","26.0332937490328","0.026000000000000023","0.031000000000000028","0.021","2100","0.0005510192342496883","0.0005510192342496883","0","0.0005510192342496883","0.0005510192342496883","4_3:0.006441635953893465;4_5:0.0043628479929895825","4_3:80;4_5:68","true"
"5","291.6014055957181","31.086220094590082","0.0343","0.0352","0.033399999999999985","2100","0.0002748300791329745","0.0002748300791329745","0","0.0002748300791329745","0.0002748300791329745","5_6:0.0035474521824832017;5_4:0.0043628479929895825","5_6:68;5_4:68","true"
"6","141.90827736087772","44.52399547824775","0.0030000000000000027","0.0050000000000000044","0.001","2100","0.00026470645790264605","0.00026470645790264605","0","0.00026470645790264605","0.00026470645790264605","6_5:0.0035474521824832017;6_7:0.00865920990097424","6_5:68;6_7:68","true"
"7","345.9039287256201","30.768643429890318","0.03400000000000003","0.044","0.02400000000000002","2100","0.0003544505716553847","0.0003544505716553847","0","0.0003544505716553847","0.0003544505716553847","7_17:0.004754955227794011;7_6:0.00865920990097424;7_8:0.006027639481795494","7_17:68;7_6:68;7_8:80","true"
"8","259.57965861808606","25.11411035576241","0.0010000000000000009","0.0013999999999999568","0.0006","2100","0.00029911594506849213","0.00029911594506849213","0","0.00029911594506849213","0.00029911594506849213","8_9:0.003532039822561256;8_7:0.006027639481795494","8_9:68;8_7:80","true"
"9","233.29583105550074","56.1573141142074","0.06579999999999997","0.0698","0.061799999999999966","2100","0.00027018061351918675","0.00027018061351918675","0","0.00027018061351918675","0.00027018061351918675","9_8:0.003532039822561256;9_10:0.003093316199470564","9_8:68;9_10:68","true"
