n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
20,gate,2,3,0.24997956734732352,0.24993845755677677,0.53,0.51,0.046646330164120314,corners3d
20,mixed,2,3,0.2500068391200384,0.25008436674767326,0.53,0.51,5.133845167591275e-05,corners3d
